,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Name,Label,Data type,Measurement units,Semantic reference,Notes,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_3,Bioacoustics index (3),number,,,,The area under the curve of the frequency spectra between 50-300 Hz. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_4,Bioacoustics index (4),number,,,,The area under the curve of the frequency spectra between 200-3000 Hz. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_amplitudeIndex,Amplitude Index,number,,,Natural log transform has been applied,The median value of the amplitude (volume) over time. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spectralEntropy,Spectral Entropy,number,,,,"A function of Shannon evenness, the index estimates the variability in the frequency spectrum.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,temporalEntropy,Temporal Entropy,number,,,,"A function of Shannon evenness, the index estimates the variability in amplitude (loudness) over time. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acousticEntropy,Acoustic Entropy,number,,,,"An index lying between 0 and 1, with 0 indicating a pure tone and 1 indicating random noise. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.1,1st harmonic,number,Hz,,,"The ""loudest"" frequency, i.e. the frequency corresponding to the largest changes in volume. This will coincide with the dominant frequency where the largest frequency is over 50 Hz.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.2,2nd harmonic,number,Hz,,,"The second to tenth loudest frequency. Higher harmonics may be multiples of lower harmonics, where a repeating oscillation is detected.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.3,3rd harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.4,4th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.5,5th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.6,6th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.7,7th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.8,8th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.9,9th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics.10,10th harmonic,number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_gamAmp,GAM amplitude range ,number,,,Natural log transform has been applied,The difference between the peak and the trough of a GAM (generalized additive model) smoothed signal. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_maxAmp_g,Maximum amplitude [g],number,,,As above but applied to the detrended audio signal,As above but applied to the detrended audio signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_rangeAmp_g,Amplitude range [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_iqrAmp_g,Amplitude IQR [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_crestFactor_g,Crest factor [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_power_g,Power [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_rms_g,RMS [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_fundFreq,Fundamental frequency [g],number,Hz,,Natural logarithm applied,"1/T, where T  is the period of the autocorrelation function.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sqrt_domfreq_g,Dominant frequency [g],number,Hz,,As above but applied to the detrended audio signal,As above but applied to the detrended audio signal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_g,Bioacoustics index (1) [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_g_2,Bioacoustics index (2) [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_g_3,Bioacoustics index (3) [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bioacousticIndex_g_4,Bioacoustics index (4) [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,log_amplitudeIndex_g,Amplitude index [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spectralEntropy_g,Spectral entropy [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,temporalEntropy_g,Temporal entropy [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,acousticEntropy_g,Acoustic entropy [g],number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.1,1st harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.2,2nd harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.3,3rd harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.4,4th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.5,5th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.6,6th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.7,7th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.8,8th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.9,9th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,harmonics_g.10,10th harmonic [g],number,Hz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
